output,nstep_coarse,aexp,z,time
522,22149,0.543315106113523,0.8405525426179759,6.671873944845437
523,22160,0.543648044025922,0.8394253616634337,6.677368576017023
524,22190,0.544583805422559,0.8362646667835996,6.6928118870598166
525,22194,0.544711835147367,0.8358330689280118,6.694924821906291
526,22218,0.545488359700105,0.8332196869421253,6.707663493276092
527,22237,0.546106582337246,0.831144381597023,6.717790490235242
528,22246,0.546400956717255,0.8301578496639932,6.7226125855001175
529,22275,0.547318201119342,0.8270907087592931,6.737592651433623
530,22286,0.547655354502111,0.8259658958490934,6.74307438289959
531,22305,0.548233170652231,0.8240413997757627,6.75248109311376
532,22329,0.549004967292591,0.8214771442442199,6.765279159094748
533,22333,0.549129231819799,0.8210649553039233,6.76732879078524
534,22363,0.550040809338072,0.8180469212882882,6.7823319761754055
535,22378,0.550531651831241,0.8164259887214229,6.790410500244685
536,22392,0.550978233899037,0.8149537286136119,6.797760564743592
537,22419,0.551859349475325,0.8120559177818414,6.812174106725901
538,22420,0.551889311609316,0.811957541058347,6.812663552905787
539,22448,0.55279437980596,0.808990895224037,6.8274482865807675
540,22463,0.553295400448285,0.8073528158553116,6.835627198345778
541,22476,0.553708418483368,0.8060046887837544,6.8423446225211855
542,22504,0.554633524996775,0.8029923452712575,6.857644709691002
543,22532,0.555519741524037,0.8001160449429869,6.872282691817019
544,22549,0.556076844129941,0.7983126083313865,6.881427349516085
545,22560,0.556434068112259,0.7971581132560215,6.887291064755592
546,22588,0.557348082968481,0.7942108900310898,6.90229432071498
547,22594,0.557535822944867,0.7936067223771679,6.905370639896052
548,22617,0.558293040797561,0.7911740375116074,6.917706716266801
549,22638,0.558957179692989,0.7890458094647907,6.928526413802515
550,22645,0.559178008878466,0.7883392839530354,6.932124012151847
551,22674,0.560113667206743,0.7853519000651181,6.947607159176826
552,22683,0.56038514990765,0.7844869732268911,6.952085701843336
553,22702,0.561013083477567,0.7824896235953589,6.962444473415922
554,22727,0.56182292149866,0.7799202590960597,6.9757970554166535
555,22730,0.561921589866402,0.7796077211373069,6.977412470186481
556,22759,0.56285746448887,0.7766487309679699,6.99273476366759
557,22772,0.563265582592276,0.775361447432618,6.999416540483858
558,22787,0.563751285139472,0.7738318765031287,7.00736854259397
559,22815,0.564646136104456,0.7710207084725471,7.021928871435157
560,22820,0.564810378118255,0.7705057108398758,7.024597546417455
561,22844,0.565559744527354,0.7681597915631595,7.037001758248241
562,22868,0.566322723585355,0.7657776358841129,7.049621585844141
563,22873,0.566483287318142,0.7652771447754843,7.052263757565749
564,22901,0.567385318237354,0.7624707017562806,7.067107212842921
565,22916,0.567861006526322,0.7609943075984864,7.074934946563319
566,22931,0.568327483840756,0.7595489017036479,7.082600171552825
567,22959,0.56922978417096,0.7567597968479882,7.097335420446013
568,22961,0.569290973868414,0.7565709731964592,7.098334694625035
569,22987,0.570148554805451,0.7539288516502951,7.112339641902899
570,23008,0.570840831681584,0.7518018062131229,7.123655256903236
571,23014,0.571035799877826,0.7512036902308954,7.126880414192356
572,23042,0.571955281864252,0.7483884347401484,7.1420904540239265
573,23054,0.572338035984676,0.7472191906301582,7.148421959701343
574,23071,0.572889211844819,0.7455381936409624,7.1575026455158
575,23098,0.573785365224225,0.7428119652532756,7.172213896608474
576,23100,0.57385362008845,0.742604673027708,7.173334368247569
577,23126,0.574719101012827,0.7399804499932243,7.187542100413763
578,23147,0.575428759930387,0.7378345846338579,7.199111559017718
579,23153,0.575621902800164,0.7372514755526343,7.20225800094208
